sex,age_group,wealth,residence,n,insured_n,insured_pct,nhif_n,private_n,community_n
Female,Under 5,Middle,Rural,635,93,14.65,90,5,1
Female,Under 5,Middle,Urban,255,34,13.33,28,6,1
Female,Under 5,Poorer,Rural,844,69,8.18,62,1,5
Female,Under 5,Poorer,Urban,107,6,5.61,5,0,1
Female,Under 5,Poorest,Rural,1637,64,3.91,40,3,22
Female,Under 5,Poorest,Urban,104,6,5.77,3,0,3
Female,Under 5,Richer,Rural,323,102,31.58,95,14,2
Female,Under 5,Richer,Urban,585,104,17.78,98,12,1
Female,Under 5,Richest,Rural,67,47,70.15,42,10,0
Female,Under 5,Richest,Urban,623,315,50.56,288,67,1
Female,5-14,Middle,Rural,1600,306,19.12,285,21,10
Female,5-14,Middle,Urban,520,77,14.81,71,7,1
Female,5-14,Poorer,Rural,2011,209,10.39,186,11,10
Female,5-14,Poorer,Urban,251,10,3.98,8,1,2
Female,5-14,Poorest,Rural,3536,147,4.16,78,19,50
Female,5-14,Poorest,Urban,223,19,8.52,12,1,6
Female,5-14,Richer,Rural,688,290,42.15,266,53,4
Female,5-14,Richer,Urban,1030,228,22.14,214,21,2
Female,5-14,Richest,Rural,135,94,69.63,87,29,0
Female,5-14,Richest,Urban,972,561,57.72,510,121,1
Female,15-17,Middle,Rural,363,72,19.83,65,6,3
Female,15-17,Middle,Urban,127,16,12.6,13,2,1
Female,15-17,Poorer,Rural,476,55,11.55,48,4,2
Female,15-17,Poorer,Urban,50,1,2,1,0,0
Female,15-17,Poorest,Rural,540,18,3.33,9,6,3
Female,15-17,Poorest,Urban,37,6,16.22,3,2,1
Female,15-17,Richer,Rural,155,64,41.29,54,14,0
Female,15-17,Richer,Urban,228,48,21.05,44,5,2
Female,15-17,Richest,Rural,27,15,55.56,15,2,0
Female,15-17,Richest,Urban,199,76,38.19,67,13,0
Female,18-24,Middle,Rural,631,96,15.21,84,4,7
Female,18-24,Middle,Urban,262,17,6.49,15,1,1
Female,18-24,Poorer,Rural,702,63,8.97,51,9,3
Female,18-24,Poorer,Urban,90,8,8.89,5,2,2
Female,18-24,Poorest,Rural,933,45,4.82,33,8,6
Female,18-24,Poorest,Urban,65,7,10.77,4,1,2
Female,18-24,Richer,Rural,352,89,25.28,82,8,0
